adgroup_id,hour_code,region_code,media_code,imp,clk,cost,n_days
grp-a001-02-000000044108616,12,02,33421,2,1,1792,1
grp-a001-02-000000044108616,12,02,341893,1,1,1450,1
grp-a001-02-000000044108616,12,02,341898,1,1,1752,1
grp-a001-02-000000044108616,12,02,684926,1,1,1706,1
grp-a001-02-000000044108616,12,02,8753,5,1,2187,1
grp-a001-02-000000044108616,12,03,684926,1,1,1839,1
grp-a001-02-000000044108616,12,06,8753,1,1,1763,1
grp-a001-02-000000044108616,12,07,8753,1,1,1705,1
grp-a001-02-000000044108616,12,11,8753,1,1,1781,1
grp-a001-02-000000044108616,12,13,8753,1,1,1809,1
grp-a001-02-000000044108616,12,16,27758,1,1,1793,1
grp-a001-02-000000044108616,12,16,684926,4,1,1681,1
grp-a001-02-000000044108616,12,16,8753,2,2,3660,2
grp-a001-02-000000044108616,12,99,684926,3,1,1865,1
grp-a001-02-000000044108616,13,01,33421,1,1,1733,1
grp-a001-02-000000044108616,13,02,11068,2,1,1799,1
grp-a001-02-000000044108616,13,02,27758,1,1,2089,1
grp-a001-02-000000044108616,13,04,27758,1,1,1815,1
grp-a001-02-000000044108616,13,06,8753,1,1,2079,1
grp-a001-02-000000044108616,13,07,8753,1,1,1809,1
grp-a001-02-000000044108616,13,09,27758,4,1,1942,1
grp-a001-02-000000044108616,13,09,8753,7,1,1901,1
grp-a001-02-000000044108616,13,11,8753,2,1,2011,1
grp-a001-02-000000044108616,13,99,684927,3,1,1765,1
grp-a001-02-000000044108616,13,99,8753,6,2,3596,2
grp-a001-02-000000044108616,14,01,8753,1,1,1812,1
grp-a001-02-000000044108616,14,02,27758,3,3,5793,2
grp-a001-02-000000044108616,14,02,341893,2,1,1412,1
grp-a001-02-000000044108616,14,02,684926,4,2,4182,2
grp-a001-02-000000044108616,14,02,684927,5,1,2029,1
grp-a001-02-000000044108616,14,02,8753,3,2,3552,2
grp-a001-02-000000044108616,14,04,27758,1,1,1596,1
grp-a001-02-000000044108616,14,04,684926,1,1,1772,1
grp-a001-02-000000044108616,14,04,8753,5,1,2073,1
grp-a001-02-000000044108616,14,06,27758,1,1,1795,1
grp-a001-02-000000044108616,14,06,8753,1,1,1755,1
grp-a001-02-000000044108616,14,09,27758,1,1,1767,1
grp-a001-02-000000044108616,14,09,684925,1,1,1613,1
grp-a001-02-000000044108616,14,09,684926,4,1,2189,1
grp-a001-02-000000044108616,14,09,8753,8,3,5702,3
grp-a001-02-000000044108616,14,10,8753,2,1,1925,1
grp-a001-02-000000044108616,14,11,27758,3,1,1684,1
grp-a001-02-000000044108616,14,11,684927,1,1,1845,1
grp-a001-02-000000044108616,14,12,33421,1,1,1815,1
grp-a001-02-000000044108616,14,13,27758,1,1,1674,1
grp-a001-02-000000044108616,14,13,8753,3,1,2131,1
grp-a001-02-000000044108616,14,15,11068,1,1,2083,1
grp-a001-02-000000044108616,14,15,8753,1,1,1213,1
grp-a001-02-000000044108616,14,16,341893,1,1,1906,1
grp-a001-02-000000044108616,15,02,341893,3,1,1721,1
grp-a001-02-000000044108616,15,02,684926,7,2,3857,2
grp-a001-02-000000044108616,15,02,684927,2,1,705,1
grp-a001-02-000000044108616,15,02,8753,3,3,5419,3
grp-a001-02-000000044108616,15,03,341893,1,1,1485,1
grp-a001-02-000000044108616,15,03,8753,1,1,1767,1
grp-a001-02-000000044108616,15,04,27758,2,1,2035,1
grp-a001-02-000000044108616,15,04,8753,1,1,1581,1
grp-a001-02-000000044108616,15,05,684926,1,1,1390,1
grp-a001-02-000000044108616,15,06,8753,3,1,1852,1
grp-a001-02-000000044108616,15,08,684927,1,1,1809,1
grp-a001-02-000000044108616,15,08,8753,3,2,3552,2
grp-a001-02-000000044108616,15,09,27758,2,1,1407,1
grp-a001-02-000000044108616,15,09,684926,10,4,7233,4
grp-a001-02-000000044108616,15,09,8753,1,1,1925,1
grp-a001-02-000000044108616,15,11,11068,3,1,1530,1
grp-a001-02-000000044108616,15,15,341893,2,1,1750,1
grp-a001-02-000000044108616,15,16,8753,2,1,1909,1
grp-a001-02-000000044108616,15,99,33421,2,1,1781,1
grp-a001-02-000000044108616,15,99,8753,3,1,1895,1
grp-a001-02-000000044108616,16,02,27758,1,2,3777,2
grp-a001-02-000000044108616,16,02,684926,2,2,3448,1
grp-a001-02-000000044108616,16,03,27758,2,2,3308,2
grp-a001-02-000000044108616,16,04,684926,2,1,1599,1
grp-a001-02-000000044108616,16,08,33421,1,1,1709,1
grp-a001-02-000000044108616,16,09,341893,2,1,1913,1
grp-a001-02-000000044108616,16,09,684926,3,2,3327,2
grp-a001-02-000000044108616,16,11,8753,1,1,1837,1
grp-a001-02-000000044108616,16,18,8753,1,1,1796,1
grp-a001-02-000000044108616,17,01,33421,1,1,2117,1
grp-a001-02-000000044108616,17,01,684926,1,1,1774,1
grp-a001-02-000000044108616,17,02,11068,4,1,1815,1
grp-a001-02-000000044108616,17,02,33421,3,1,1855,1
grp-a001-02-000000044108616,17,02,684926,3,1,1347,1
grp-a001-02-000000044108616,17,03,27758,0,1,1467,1
grp-a001-02-000000044108616,17,03,8753,1,1,1768,1
grp-a001-02-000000044108616,17,04,684926,1,1,1815,1
grp-a001-02-000000044108616,17,06,33421,4,1,2073,1
grp-a001-02-000000044108616,17,09,8753,1,2,3768,2
grp-a001-02-000000044108616,17,11,8753,2,1,1618,1
grp-a001-02-000000044108616,17,13,341893,1,1,1661,1
grp-a001-02-000000044108616,17,14,684926,4,1,1656,1
grp-a001-02-000000044108616,17,16,341898,1,1,981,1
grp-a001-02-000000044108616,18,00,27758,1,1,1667,1
grp-a001-02-000000044108616,18,02,341893,2,1,1454,1
grp-a001-02-000000044108616,18,02,684926,4,2,2455,2
grp-a001-02-000000044108616,18,02,8753,2,1,1788,1
grp-a001-02-000000044108616,18,05,684926,1,1,1699,1
grp-a001-02-000000044108616,18,06,8753,1,1,1777,1
grp-a001-02-000000044108616,18,08,11068,2,1,1581,1
grp-a001-02-000000044108616,18,09,27758,5,3,5705,3
grp-a001-02-000000044108616,18,09,684926,10,3,3964,3
grp-a001-02-000000044108616,18,09,8753,3,2,3710,2
grp-a001-02-000000044108616,18,10,684926,1,1,2036,1
grp-a001-02-000000044108616,18,10,8753,2,1,1901,1
grp-a001-02-000000044108616,18,11,341893,1,1,1663,1
grp-a001-02-000000044108616,18,11,8753,4,1,1783,1
grp-a001-02-000000044108616,18,14,8753,1,1,1834,1
grp-a001-02-000000044108616,18,18,8753,2,1,1848,1
grp-a001-02-000000044108616,19,01,341893,1,1,1665,1
grp-a001-02-000000044108616,19,01,341898,1,1,1098,1
grp-a001-02-000000044108616,19,02,33421,3,1,1815,1
grp-a001-02-000000044108616,19,02,341893,1,1,1815,1
grp-a001-02-000000044108616,19,02,684927,4,2,3580,2
grp-a001-02-000000044108616,19,02,8753,9,5,8457,5
grp-a001-02-000000044108616,19,04,8753,1,1,1738,1
grp-a001-02-000000044108616,19,06,8753,0,1,1777,1
grp-a001-02-000000044108616,19,07,341893,2,1,1914,1
grp-a001-02-000000044108616,19,07,8753,1,1,1749,1
grp-a001-02-000000044108616,19,09,11068,2,1,1978,1
grp-a001-02-000000044108616,19,09,27758,1,1,1689,1
grp-a001-02-000000044108616,19,09,341898,3,1,1677,1
grp-a001-02-000000044108616,19,09,684926,1,1,1772,1
grp-a001-02-000000044108616,19,09,8753,6,3,6100,3
grp-a001-02-000000044108616,19,11,684926,1,1,1842,1
grp-a001-02-000000044108616,19,13,33421,1,1,1759,1
grp-a001-02-000000044108616,19,13,684927,1,1,1624,1
grp-a001-02-000000044108616,19,15,341893,1,1,1326,1
grp-a001-02-000000044108616,19,16,8753,1,1,2000,1
grp-a001-02-000000044108616,19,99,8753,3,1,1635,1
grp-a001-02-000000044108616,20,02,27758,1,1,1652,1
grp-a001-02-000000044108616,20,02,684926,1,1,1815,1
