adgroup_id|mall_product_id|channel_product_no|status_type|whole_category_name|sale_price|discounted_price|stock_quantity
grp-a001-02-000000043610925|9475441000|9475441000|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰충전기>충전기|15800|12800|0
grp-a001-02-000000043610925|9506336785|9506336785|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|21000|15900|9926
grp-a001-02-000000043610925|9590260821|9590260821|SUSPENSION|디지털/가전>태블릿PC액세서리>태블릿PC보호필름>액정보호필름|19900|15900|23944
grp-a001-02-000000043610925|9608153706|9608153706|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|21000|15900|9975
grp-a001-02-000000043610925|9608407073|9608407073|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19000|17800|946
grp-a001-02-000000043610925|9645414774|9645414774|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19800|15900|989
grp-a001-02-000000043610925|9645452621|9645452621|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19800|15900|994
grp-a001-02-000000043610925|9645476434|9645476434|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19800|15900|457
grp-a001-02-000000043610925|9645494346|9645494346|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19800|15900|435
grp-a001-02-000000043610925|9775886091|9775886091|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|12900|7
grp-a001-02-000000043610925|9775923596||||||
grp-a001-02-000000043610925|9795566687|9795566687|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|15900|2973
grp-a001-02-000000043610925|9795609550|9795609550|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|12900|26
grp-a001-02-000000043610925|9795653260|9795653260|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|12900|16
grp-a001-02-000000043610925|9795675856|9795675856|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|12900|7
grp-a001-02-000000043610925|9795815284|9795815284|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19800|15900|730
grp-a001-02-000000043610925|9795897709||||||
grp-a001-02-000000043610925|9795928665||||||
grp-a001-02-000000043610925|9795955861||||||
grp-a001-02-000000043610925|9809406811|9809406811|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|12900|9900|2
grp-a001-02-000000043610925|9809423596|9809423596|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|25800|15900|0
grp-a001-02-000000043610925|9809440279||||||
grp-a001-02-000000043610925|9809451709||||||
grp-a001-02-000000043610925|9809458078||||||
grp-a001-02-000000043610925|9809463820||||||
grp-a001-02-000000043610925|9809470164||||||
grp-a001-02-000000043610925|9809475804|9809475804|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|25800|15900|0
grp-a001-02-000000043610925|9809808282|9809808282|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|15000|98
grp-a001-02-000000043610925|9809829280||||||
grp-a001-02-000000043610925|9809836674||||||
grp-a001-02-000000043610925|9809869052||||||
grp-a001-02-000000043610925|9809961495|9809961495|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|16900|12900|6
grp-a001-02-000000043610925|9810269528|9810269528|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|16900|12900|4
grp-a001-02-000000043610925|9810289669|9810289669|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|16900|12900|5
grp-a001-02-000000043610925|9810298872|9810298872|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|16900|12900|3
grp-a001-02-000000043610925|9810354143|9810354143|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|19900|16900|5
grp-a001-02-000000043610925|9810359194||||||
grp-a001-02-000000043610925|9810366346|9810366346|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|19900|16900|2
grp-a001-02-000000043610925|9810376975|9810376975|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|19900|16900|9
grp-a001-02-000000043610925|9816064743||||||
grp-a001-02-000000043610925|9816144543||||||
grp-a001-02-000000043610925|9816189362||||||
grp-a001-02-000000043610925|9816818628||||||
grp-a001-02-000000043610925|9817085885|9817085885|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|15000|100
grp-a001-02-000000043610925|9817230055||||||
grp-a001-02-000000043610925|9817287812||||||
grp-a001-02-000000043610925|9817297190||||||
grp-a001-02-000000043610925|9823936023|9823936023|SALE|디지털/가전>태블릿PC액세서리>태블릿PC보호필름>액정보호필름|17900|15900|942
grp-a001-02-000000043610925|9823967466|9823967466|SALE|디지털/가전>태블릿PC액세서리>태블릿PC보호필름>액정보호필름|17900|15900|833
