adgroup_id,adgroup_name,campaign_name,campaign_type,model,cost,conv_amt,total_ad_profit,residual_v1,residual_v2,baseline_v1_daily,baseline_v2_used_fallback,n_days,n_baseline_days,band_total,band_baseline_only,baseline_unavailable,excess_F2,excess_F1b,excess_F1a,excess_연휴,excess_공휴일,excess_휴가창,excess_주말,excess_F3
grp-a001-01-000000060548667,폴드3_지문방지,○ 갤럭시 파워링크,WEB_SITE,갤럭시 Z 폴드3,54391,89000,-2374.64,16721.5,26442.51,100.7319,False,166,97,band3,band1,False,0.0,0.0,0.0,-1112.93,-6105.12,-6424.37,-5453.72,0.0
grp-a001-02-000000059820884,S24,● 01. 갤럭시_지문방지_TPU,SHOPPING,갤럭시 S24 (+/울트라),114475,215600,11533.18,17074.15,22053.52,97.5666,True,175,105,band2,band2,False,0.0,0.0,0.0,-195.13,-2240.53,-10107.64,7002.34,0.0
grp-a001-02-000000059830521,16,● [P_삭제금지]03. 아이폰_강화유리,SHOPPING,아이폰16(추정 매핑),160717,435600,93870.96,18083.3,11011.2,102.746,True,176,106,band1,band2,False,0.0,0.0,0.0,-102.75,7208.04,6257.15,62425.22,0.0
grp-a001-01-000000060825796,S8_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,갤럭시탭 S8 울트라,58174,127200,16168.49,18323.42,37948.6,110.382,False,166,97,band1,band1,False,0.0,0.0,0.0,-441.53,5807.14,744.79,-8265.32,0.0
grp-a001-02-000000051215431,04. 뮤패드_종이질감,● 09. 기타상품,SHOPPING,,180,14220,8130.93,18584.98,18584.98,580.7807,False,32,14,band1,band1,False,0.0,0.0,0.0,0.0,0.0,-7550.15,-2903.9,0.0
grp-a001-01-000000060548974,폴드4_지문방지,○ 갤럭시 파워링크,WEB_SITE,갤럭시 Z 폴드4,101128,224700,30198.71,18787.08,-4052.08,113.1752,False,166,97,band1,band1,False,0.0,0.0,0.0,-972.7,-2988.23,27367.68,-11995.12,0.0
grp-a001-01-000000043502507,50. 골프 버디 필름,○ 02. 파워링크_MO,WEB_SITE,,203170,407780,35158.46,19010.44,34399.55,99.5311,False,191,111,band2,band2,False,0.0,0.0,0.0,9850.82,-6787.66,-18020.27,31105.12,0.0
grp-a001-02-000000059829962,노트20,● 01. 갤럭시_지문방지_PET,SHOPPING,,22568,63600,14603.24,19255.73,17624.32,99.7706,True,193,115,band1,band1,False,0.0,0.0,0.0,-399.08,-2558.17,1719.63,-3414.87,0.0
grp-a001-01-000000047489113,01. 갤럭시S25_6H 사생활보호,○ 02. 파워링크_PC,WEB_SITE,갤럭시 S25 (+/울트라/FE),10150,33800,9604.53,19863.7,22517.87,106.223,False,187,110,band1,band1,False,0.0,0.0,0.0,-531.11,-531.11,-3399.35,-5797.59,0.0
grp-a001-01-000000060531709,플립5_지문방지,○ 갤럭시 파워링크,WEB_SITE,갤럭시 Z 플립5,249015,594200,98267.29,20666.41,10810.77,124.4964,False,166,97,band1,band2,False,0.0,0.0,0.0,-1347.99,-9408.38,4718.67,83638.58,0.0
grp-a001-01-000000060824108,강화유리필름,○ 기타 파워링크,WEB_SITE,,72403,110300,-7937.77,21243.34,22271.66,505.7938,False,42,28,band3,band1,False,0.0,0.0,0.0,-11043.18,-1125.79,0.0,-17012.14,0.0
grp-a001-01-000000060824786,일미리케이스_S24시리즈,○ 기타 파워링크,WEB_SITE,갤럭시 S24 (+/울트라),30818,101100,28270.25,22063.63,22515.48,525.3245,False,42,28,band1,band1,False,0.0,0.0,0.0,-3751.3,-1705.32,0.0,11663.25,0.0
grp-a001-01-000000061924155,S24_일,○ [P_Test]소다케이스 파워링크,WEB_SITE,갤럭시 S24 (+/울트라),37160,80100,9654.73,22132.92,22803.61,1229.6065,True,18,12,band1,band1,False,0.0,0.0,0.0,-6099.21,-2239.61,0.0,-4139.37,0.0
grp-a001-02-000000043610925,02. 컨텐츠매체_02,● 10. 컨텐츠매체,SHOPPING,,601543,952480,-44862.7,22278.15,-653.37,62.7554,False,355,206,band3,band2,False,0.0,0.0,0.0,-12401.99,472.43,-51979.96,-3231.33,0.0
grp-a001-01-000000060763483,S21_사생활보호,○ 갤럭시 파워링크,WEB_SITE,,71658,190800,39855.73,22372.12,30401.79,134.7718,False,166,97,band1,band1,False,0.0,0.0,0.0,-1889.09,6110.41,7536.41,5725.88,0.0
grp-a001-01-000000060613254,A35_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,갤럭시 A35,23081,95400,32675.87,22416.92,18289.53,135.8601,False,165,97,band1,band1,False,0.0,0.0,0.0,-407.58,-2707.02,5371.75,8001.8,0.0
grp-a001-01-000000060531082,플립2_지문방지,○ 갤럭시 파워링크,WEB_SITE,,25082,105800,36753.18,22462.26,17751.53,150.7534,False,149,94,band1,band1,False,0.0,0.0,0.0,-603.01,-904.52,16086.31,-287.85,0.0
grp-a001-01-000000046971480,02.아이패드_에어 4/5세대_종이질감,○ 02. 파워링크_PC,WEB_SITE,,7070,31800,11515.62,22481.43,18905.52,122.1817,False,184,108,band1,band1,False,0.0,0.0,0.0,-366.55,-610.91,-3372.36,-6615.99,0.0
grp-a001-02-000000061793328,S23플러스_일,소다케이스_갤럭시,SHOPPING,갤럭시 S23 (+/울트라/FE),50660,93300,3869.51,23757.73,20110.56,1032.945,True,23,17,band2,band1,False,0.0,0.0,0.0,-6675.89,-7392.94,0.0,-5819.38,0.0
grp-a001-02-000000059808403,S25,● 01. 갤럭시_지문방지_사생활,SHOPPING,갤럭시 S25 (+/울트라/FE),175345,251400,-28413.38,24112.86,3565.08,124.2931,True,194,116,band3,band2,False,0.0,0.0,0.0,-2997.17,-4934.34,-7766.15,-36828.57,0.0
grp-a001-01-000000037842041,02. 아이폰15,○ 02. 파워링크_PC,WEB_SITE,아이폰15(추정 매핑),32651,73600,10364.78,26437.01,28584.4,139.1422,False,190,111,band1,band1,False,0.0,0.0,0.0,-695.71,-695.71,-5779.41,-8901.4,0.0
grp-a001-01-000000040173291,02. 아이폰_사생활보호,○ 02. 파워링크_PC,WEB_SITE,,69370,139300,12044.38,26970.15,14515.94,141.205,False,191,111,band2,band1,False,0.0,0.0,0.0,-1196.02,-1516.02,-8928.92,-3284.8,0.0
grp-a001-01-000000046480952,01. 갤럭시A16_자가복원 고투명,○ 02. 파워링크_PC,WEB_SITE,갤럭시 A16 LTE,4900,31800,13685.62,27149.21,22486.61,153.3854,False,177,108,band1,band1,False,0.0,0.0,0.0,-460.16,-766.93,-6081.25,-6155.26,0.0
grp-a001-01-000000046975254,02.아이패드_프로 7세대_6H BLC,○ 02. 파워링크_MO,WEB_SITE,"아이패드 프로 7세대(11/13인치, M4)",2860,31800,15725.62,27162.44,22828.39,142.9602,False,190,110,band1,band1,False,0.0,0.0,0.0,-714.8,-714.8,-3431.04,-6576.17,0.0
grp-a001-02-000000044952305,01. 갤럭시탭_종이질감_BULK,● 06. 갤럭시탭_종이질감_M,SHOPPING,,18409,62010,17832.96,28376.69,21773.59,80.8453,False,351,204,band1,band1,False,0.0,0.0,0.0,-646.76,-970.14,-8138.19,-788.63,0.0
grp-a001-01-000000060796465,아이폰13프로맥스_사생활보호,○ 아이폰 파워링크,WEB_SITE,,43401,125300,29831.03,29742.47,26938.02,194.3952,False,153,91,band1,band1,False,0.0,0.0,0.0,-777.58,-1360.77,6757.3,-4530.39,0.0
grp-a001-01-000000031186688,02. 아이폰12,○ 02. 파워링크_MO,WEB_SITE,,40180,130410,36038.59,29950.21,32736.85,156.8074,False,191,111,band1,band1,False,0.0,0.0,0.0,-1324.04,-2614.04,14968.97,-4942.51,0.0
