adgroup_id,campaign_type,cost,conv_amt,bep_g,product_count,ad_profit_account,ad_profit_prod,band_account,band_prod,diverges
grp-a001-01-000000046970779,WEB_SITE,2090,0,,,-2090.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046970893,WEB_SITE,15170,79500,,,31294.06,,band1,not_judged_no_bep,False
grp-a001-01-000000046971358,WEB_SITE,26454,15900,,,-17161.19,,band3,not_judged_no_bep,False
grp-a001-01-000000046971480,WEB_SITE,7070,31800,,,11515.62,,band1,not_judged_no_bep,False
grp-a001-01-000000046971678,WEB_SITE,3410,61600,,,32592.34,,band1,not_judged_no_bep,False
grp-a001-01-000000046973844,WEB_SITE,11390,33800,,,8364.53,,band1,not_judged_no_bep,False
grp-a001-01-000000046974236,WEB_SITE,12080,16900,,,-2202.74,,band3,not_judged_no_bep,False
grp-a001-01-000000046975254,WEB_SITE,2860,31800,,,15725.62,,band1,not_judged_no_bep,False
grp-a001-01-000000046975512,WEB_SITE,2970,0,,,-2970.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046975542,WEB_SITE,2980,16900,,,6897.26,,band1,not_judged_no_bep,False
grp-a001-01-000000046975626,WEB_SITE,3730,16900,,,6147.26,,band1,not_judged_no_bep,False
grp-a001-01-000000046975770,WEB_SITE,990,0,,,-990.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046976107,WEB_SITE,160,0,,,-160.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046976135,WEB_SITE,1390,0,,,-1390.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046976468,WEB_SITE,20728,159820,,,72679.36,,band1,not_judged_no_bep,False
grp-a001-01-000000046977473,WEB_SITE,3030,0,,,-3030.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046978005,WEB_SITE,46210,111300,,,18839.68,,band1,not_judged_no_bep,False
grp-a001-01-000000046978099,WEB_SITE,1670,0,,,-1670.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046979820,WEB_SITE,17700,111300,,,47349.68,,band1,not_judged_no_bep,False
grp-a001-01-000000046980388,WEB_SITE,141636,541930,,,175096.9,,band1,not_judged_no_bep,False
grp-a001-01-000000046980878,WEB_SITE,115120,206700,,,5686.55,,band2,not_judged_no_bep,False
grp-a001-01-000000047003535,WEB_SITE,104270,448140,,,157647.01,,band1,not_judged_no_bep,False
grp-a001-01-000000047003798,WEB_SITE,13710,56500,,,19311.62,,band1,not_judged_no_bep,False
grp-a001-01-000000047075282,WEB_SITE,29280,61600,,,6722.34,,band1,not_judged_no_bep,False
grp-a001-01-000000047076625,WEB_SITE,36510,106120,,,25512.21,,band1,not_judged_no_bep,False
grp-a001-01-000000047162713,WEB_SITE,48063,96930,,,8588.08,,band2,not_judged_no_bep,False
grp-a001-01-000000047166586,WEB_SITE,9988,33800,,,9766.53,,band1,not_judged_no_bep,False
grp-a001-01-000000047485469,WEB_SITE,1103480,3382500,,,873434.09,,band1,not_judged_no_bep,False
grp-a001-01-000000047485563,WEB_SITE,272890,716100,,,145637.18,,band1,not_judged_no_bep,False
grp-a001-01-000000047486489,WEB_SITE,146480,244750,,,-3435.0,,band3,not_judged_no_bep,False
grp-a001-01-000000047486647,WEB_SITE,61818,73600,,,-18802.22,,band3,not_judged_no_bep,False
grp-a001-01-000000047486686,WEB_SITE,7730,0,,,-7730.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000047487792,WEB_SITE,790,0,,,-790.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000047488792,WEB_SITE,116510,465150,,,155348.56,,band1,not_judged_no_bep,False
grp-a001-01-000000047488926,WEB_SITE,48669,144100,,,35550.75,,band1,not_judged_no_bep,False
grp-a001-01-000000047489113,WEB_SITE,10150,33800,,,9604.53,,band1,not_judged_no_bep,False
grp-a001-01-000000048499536,WEB_SITE,572000,1028700,,,29227.35,,band2,not_judged_no_bep,False
grp-a001-01-000000048499741,WEB_SITE,162330,275200,,,-1488.39,,band3,not_judged_no_bep,False
grp-a001-01-000000048564412,WEB_SITE,327926,2067200,,,880256.35,,band1,not_judged_no_bep,False
grp-a001-01-000000049350730,WEB_SITE,3910,0,,,-3910.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000049350994,WEB_SITE,18010,31800,,,575.62,,band2,not_judged_no_bep,False
grp-a001-01-000000049354066,WEB_SITE,2130,0,,,-2130.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000049354073,WEB_SITE,1030,0,,,-1030.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000049549995,WEB_SITE,59020,110500,,,5562.12,,band2,not_judged_no_bep,False
grp-a001-01-000000049863305,WEB_SITE,488530,1088630,,,147723.65,,band1,not_judged_no_bep,False
grp-a001-01-000000049864292,WEB_SITE,85470,348550,,,118241.28,,band1,not_judged_no_bep,False
grp-a001-01-000000049865057,WEB_SITE,27890,114400,,,38971.48,,band1,not_judged_no_bep,False
grp-a001-01-000000049865502,WEB_SITE,136310,82880,,,-87870.49,,band3,not_judged_no_bep,False
grp-a001-01-000000049866750,WEB_SITE,148480,185200,,,-40239.21,,band3,not_judged_no_bep,False
grp-a001-01-000000050212614,WEB_SITE,112050,349920,,,92461.98,,band1,not_judged_no_bep,False
grp-a001-01-000000050221991,WEB_SITE,27810,47700,,,68.43,,band2,not_judged_no_bep,False
grp-a001-01-000000050397977,WEB_SITE,55530,375700,,,164049.19,,band1,not_judged_no_bep,False
grp-a001-01-000000050409988,WEB_SITE,6790,0,,,-6790.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000051955092,WEB_SITE,22606,47700,,,5272.43,,band1,not_judged_no_bep,False
grp-a001-01-000000052182861,WEB_SITE,1581083,3491890,,,459764.46,,band1,not_judged_no_bep,False
grp-a001-01-000000052225586,WEB_SITE,357459,618920,,,4270.98,,band2,not_judged_no_bep,False
grp-a001-01-000000052260531,WEB_SITE,1900099,3840230,,,344337.0,,band2,not_judged_no_bep,False
grp-a001-01-000000052263060,WEB_SITE,336107,1014920,,,257066.58,,band1,not_judged_no_bep,False
grp-a001-01-000000052822167,WEB_SITE,210830,127360,,,-136394.0,,band3,not_judged_no_bep,False
grp-a001-01-000000052822210,WEB_SITE,324970,290400,,,-155244.69,,band3,not_judged_no_bep,False
grp-a001-01-000000053177765,WEB_SITE,144790,106170,,,-82738.57,,band3,not_judged_no_bep,False
grp-a001-01-000000053180338,WEB_SITE,94340,15500,,,-85280.97,,band3,not_judged_no_bep,False
grp-a001-01-000000053266390,WEB_SITE,35438,0,,,-35438.0,,band3,not_judged_no_bep,False
grp-a001-01-000000053273491,WEB_SITE,1350,0,,,-1350.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000054203750,WEB_SITE,409712,555370,,,-85124.04,,band3,not_judged_no_bep,False
grp-a001-01-000000054212536,WEB_SITE,118629,87020,,,-67769.85,,band3,not_judged_no_bep,False
grp-a001-01-000000054403622,WEB_SITE,39210,47600,,,-11390.01,,band3,not_judged_no_bep,False
grp-a001-01-000000054405090,WEB_SITE,11270,0,,,-11270.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000054618773,WEB_SITE,84703,63510,,,-47584.36,,band3,not_judged_no_bep,False
grp-a001-01-000000054664266,WEB_SITE,0,0,,,0.0,,excluded_cost0,not_judged_no_bep,False
grp-a001-01-000000054666555,WEB_SITE,409970,1113290,,,240696.28,,band1,not_judged_no_bep,False
grp-a001-01-000000054666566,WEB_SITE,981440,2145410,,,272452.46,,band1,not_judged_no_bep,False
grp-a001-01-000000054671417,WEB_SITE,400098,810920,,,73847.06,,band2,not_judged_no_bep,False
grp-a001-01-000000054671419,WEB_SITE,95030,296210,,,78090.98,,band1,not_judged_no_bep,False
grp-a001-01-000000055142639,WEB_SITE,185665,679200,,,211295.84,,band1,not_judged_no_bep,False
grp-a001-01-000000055151707,WEB_SITE,90800,344100,,,110310.46,,band1,not_judged_no_bep,False
grp-a001-01-000000056068060,WEB_SITE,99870,0,,,-99870.0,,band3,not_judged_no_bep,False
