adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-01-000000060604010,아이폰12미니_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,641,False
grp-a001-01-000000060604011,아이폰12프로_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,33643,False
grp-a001-01-000000060604013,아이폰12프로맥스_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,13382,False
grp-a001-01-000000060604014,아이폰13_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,143018,False
grp-a001-01-000000060604015,아이폰13미니_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,187129,False
grp-a001-01-000000060604017,아이폰13프로_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,70974,False
grp-a001-01-000000060604019,아이폰13프로맥스_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,48287,False
grp-a001-01-000000060604020,아이폰14_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,28988,False
grp-a001-01-000000060604022,아이폰14프로_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,124967,False
grp-a001-01-000000060604025,아이폰14프로맥스_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,44686,False
grp-a001-01-000000060604027,아이폰14플러스_강화유리,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,3451,False
grp-a001-01-000000060609365,노트8_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,note:노트8,,,,,,unresolved,True,25736,False
grp-a001-01-000000060610033,노트9_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,note:노트9,,,,,,unresolved,True,78227,False
grp-a001-01-000000060610036,노트10_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,note:노트10,,,,,,unresolved,True,67768,False
grp-a001-01-000000060610039,노트10플러스_지문방지_TPU,○ 갤럭시 파워링크,WEB_SITE,note:노트10플러스,,,,,,unresolved,True,75008,False
