band,ctype,blk,pc,mob,cost,imp,clk,bcost
band1,WEB_SITE,6,1,1,0,0,0,13746.0
band1,WEB_SITE,6,1,1,0,0,0,118490.0
band2,WEB_SITE,6,1,1,0,0,0,87125.0
band1,WEB_SITE,6,1,1,0,0,0,71658.0
band1,WEB_SITE,6,1,1,0,0,0,57056.0
band2,WEB_SITE,6,1,1,0,0,0,303859.0
band1,WEB_SITE,6,1,1,0,0,0,63422.0
band2,WEB_SITE,6,1,1,0,0,0,268872.0
band1,WEB_SITE,6,1,1,0,0,0,93982.0
band1,WEB_SITE,6,1,1,0,0,0,106864.0
band3,WEB_SITE,6,1,1,0,0,0,34842.0
band1,WEB_SITE,6,1,1,0,0,0,23841.0
band1,WEB_SITE,6,1,1,0,0,0,53634.0
band1,WEB_SITE,6,1,1,0,0,0,38207.0
band1,WEB_SITE,6,1,1,0,0,0,13084.0
band1,WEB_SITE,6,1,1,0,0,0,116237.0
band1,WEB_SITE,6,1,1,0,0,0,215911.0
band2,WEB_SITE,6,1,1,0,0,0,166466.0
band1,WEB_SITE,6,1,1,0,0,0,612060.0
band1,WEB_SITE,6,1,1,0,0,0,70673.0
band1,WEB_SITE,6,1,1,0,0,0,454223.0
band1,WEB_SITE,6,1,1,0,0,0,175456.0
band3,WEB_SITE,6,1,1,0,0,0,163871.0
band1,WEB_SITE,6,1,1,0,0,0,62917.0
band1,WEB_SITE,6,1,1,0,0,0,36480.0
band2,WEB_SITE,6,1,1,0,0,0,1361785.0
band1,WEB_SITE,6,1,1,0,0,0,1409228.0
band1,WEB_SITE,6,1,1,0,0,0,300366.0
band2,WEB_SITE,7,1,1,0,0,0,325900.0
band3,WEB_SITE,7,1,1,0,0,0,70542.0
band1,WEB_SITE,7,1,1,0,0,0,93358.0
band2,WEB_SITE,7,1,1,0,0,0,236976.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,2874.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,641.0
band3,WEB_SITE,7,1,1,0,0,0,31404.0
band3,WEB_SITE,7,1,1,0,0,0,13382.0
band2,WEB_SITE,7,1,1,0,0,0,137990.0
band3,WEB_SITE,7,1,1,0,0,0,176158.0
band1,WEB_SITE,7,1,1,0,0,0,65514.0
band3,WEB_SITE,7,1,1,0,0,0,48287.0
band3,WEB_SITE,7,1,1,0,0,0,27142.0
band2,WEB_SITE,7,1,1,0,0,0,117923.0
band3,WEB_SITE,7,1,1,0,0,0,42929.0
band4_unjudgeable,WEB_SITE,7,1,1,0,0,0,3451.0
band3,WEB_SITE,7,1,1,0,0,0,233285.0
band2,WEB_SITE,7,1,1,0,0,0,340811.0
band1,WEB_SITE,7,1,1,0,0,0,168499.0
band3,WEB_SITE,7,1,1,0,0,0,17190.0
band3,WEB_SITE,7,1,1,0,0,0,183166.0
band1,WEB_SITE,7,1,1,0,0,0,123292.0
band1,WEB_SITE,7,1,1,0,0,0,102084.0
