발주일,발주번호,상품번호,상품명,발송수량,입고수량,미입고수량,매입단가,미입고금액,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급
2025-08-11,110481364,41670010,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24울트라, 1세트",37,36,1,9540,9540,38439229,460089283625,2025-08-18 19:36,2025-08-19 13:42,2025-08-19 14:01,집하+도착+하차
2025-09-05,112597865,41670025,"오하이 전면 3D 풀커버 TPU 지문방지 무광택 필름 3p + 부착 가이드툴, 갤럭시 S24플러스, 1세트",31,30,1,9540,9540,39161159,460274016226;460274016230;460274016241;460274016252,2025-09-08 20:02,2025-09-10 10:18,2025-09-11 14:33,집하+도착+하차
2025-09-12,113201018,53854611,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 A16 5G, 1세트",10,9,1,9540,9540,39376667,460330567970;460330567981;460330567992;460330568003;460330568014,2025-09-15 19:16,2025-09-18 09:26,2025-09-18 15:10,집하+도착+하차
2025-11-28,118877927,42671147,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S9, 1세트",1,0,1,9540,9540,41594911,460985693840;460985693851;460985693862;460985693873;460985693884,2025-12-02 17:54,2025-12-03 10:20,2025-12-04 17:30,집하+도착+하차
2026-03-13,126502203,41670004,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24, 1세트",1,0,1,9540,9540,44540894,461854903414,2026-03-16 18:59,2026-03-17 11:20,2026-03-18 09:48,집하+도착+하차
2026-03-27,127711266,41670025,"오하이 전면 3D 풀커버 TPU 지문방지 무광택 필름 3p + 부착 가이드툴, 갤럭시 S24플러스, 1세트",1,0,1,9540,9540,45022383,461994194793,2026-03-30 18:42,2026-03-31 12:13,,집하+도착
2026-03-27,127711266,52729614,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S24FE, 1세트",1,0,1,9540,9540,45022383,461994194793,2026-03-30 18:42,2026-03-31 12:13,,집하+도착
2026-05-29,132855408,40840077,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰14, 1세트",1,0,1,9540,9540,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2026-05-29,132855408,41670004,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S24, 1세트",1,0,1,9540,9540,47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착
2026-07-09,136435977,39374831,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 갤럭시 S20FE, 1세트",1,0,1,9540,9540,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2026-07-09,136435977,40840066,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 아이폰13미니, 1세트",1,0,1,9540,9540,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2025-08-22,111416537,55707338,"오하이 전면 3D 풀커버 TPU 지문방지 + 무광택 휴대폰 액정보호필름 3p + 부착 가이드툴, 삼성 갤럭시 S25울트라, 1세트",41,40,1,9060,9060,38721292,460165601862;460165606084;460165608243,2025-08-25 19:25,2025-08-28 16:28,2025-08-28 10:41,집하+도착+하차
