발주일,발주번호,물류센터,상품번호,상품명,발송수량,쿠팡정산수량,미정산수량,매입단가,미정산금액,쿠팡정산금액,계산서번호,지급일,정산상태,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급,쿠팡정산수량_재판정,미정산금액_재판정,연령기준일,연령기준일출처,경과일수,연령버킷
2026-05-29,132855408,이천4,18371042,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰13프로맥스",3,0,3,10740,32220,0,,,계산서 미발행(전량 미정산),47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착,0,32220,2026-06-09,②센터도착일(제3자),58,31~60일
2026-05-29,132855408,이천4,13906323,오하이 전면 3D 풀커버 TPU 지문방지 액정보호필름 3p + 부착 가이드툴 세트 갤럭시S21울트라 1세트,3,0,3,9600,28800,0,,,계산서 미발행(전량 미정산),47283633,462551161435,2026-06-08 19:04,2026-06-09 12:18,,집하+도착,0,28800,2026-06-09,②센터도착일(제3자),58,31~60일
2025-07-31,109639426,이천4,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",2,0,2,12000,24000,0,,,계산서 미발행(전량 미정산),38032113,459916945423,2025-08-01 18:41,2025-08-02 10:46,,집하+도착,0,24000,2025-08-02,②센터도착일(제3자),369,366일+
2025-08-29,112067836,인천36,57316032,"오하이 일미리 케이스 1mm 변색 없는 PC 하드 케이스, 아이폰 16",3,0,3,8000,24000,0,,,정산명세에 없음(전량 미정산),38950993,460224422162;460224429534;460224430934,2025-09-02 18:25,2025-09-03 08:39,2025-09-07 09:59,집하+도착+하차,0,24000,2025-09-07,①하차일(제3자),333,181~365일
2025-09-12,113247676,인천14,57316039,"오하이 일미리 케이스 1mm 변색 없는 PC 하드 케이스, 아이폰 15",3,0,3,8000,24000,0,,,정산명세에 없음(전량 미정산),39404080,460337727916;460337727920;460337727931;460337727942;460337727953;460337727964;460337727975,2025-09-16 18:40,2025-09-18 09:10,2025-09-18 09:20,집하+도착+하차,0,24000,2025-09-18,①하차일(제3자),322,181~365일
2025-10-10,114898481,경기광주3,62922000,"오하이 폴드,플립 지문방지 무광택 액정보호 필름 + 부착 안내문, 삼성 갤럭시 Z폴드7, 1세트 투명",25,23,2,12000,24000,276000,27354329,2025-12-12,정산됨(일부),40028672,460554719855;460554733564,2025-10-13 19:44,2025-10-15 11:18,2025-10-15 14:25,집하+도착+하차,23,24000,2025-10-15,①하차일(제3자),295,181~365일
2025-09-18,113666433,창원1,35373955,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 14 프로, 1세트",5,3,2,11940,23880,35820,27167943,2025-11-25,정산됨(일부),39601674,460404823410,2025-09-23 19:26,2025-09-25 10:41,2025-09-26 01:22,집하+도착+하차,3,23880,2025-09-26,①하차일(제3자),314,181~365일
2025-09-22,113919588,경기광주3,35373954,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 13/13프로, 1세트",2,0,2,11940,23880,0,,,정산명세에 없음(전량 미정산),39834848,460489101052;460489101063;460489101074;460489101085,2025-09-30 18:58,2025-10-02 11:24,2025-10-02 16:12,집하+도착+하차,0,23880,2025-10-02,①하차일(제3자),308,181~365일
2026-02-05,124148383,인천30,35373967,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 12 미니, 1세트",2,0,2,11940,23880,0,,,정산명세에 없음(전량 미정산),43664130,461583940506,2026-02-09 18:52,2026-02-12 15:05,2026-02-12 11:18,집하+도착+하차,0,23880,2026-02-12,①하차일(제3자),175,91~180일
2026-05-28,132783273,동탄1,63688989,오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2p 세트 아이폰17 1세트,2,0,2,11940,23880,0,,,정산명세에 없음(전량 미정산),47021950,462482103716;462482111545,2026-05-29 18:13,2026-05-30 10:04,2026-05-30 09:42,집하+도착+하차,0,23880,2026-05-30,①하차일(제3자),68,61~90일
