platform_product_id,rev
7119777823,18900
7264138096,17800
7276789393,81500
7278167361,12900
7278685548,31800
7284455837,51700
7285387194,35800
8015710525,12900
8024066255,81500
8024072628,1758700
8024076513,1490400
8045761435,17900
8171818613,33500
8171867174,160000
8171971713,72000
8303831137,17900
8595881112,86600
8777091875,1117500
8795812978,7600
8927879889,3637900
8927994785,8800
8928008121,32700
9205714557,9900
9475735135,134000
9506336785,47700
9590260821,75600
9608153706,47700
9608407073,108000
9645476434,3461400
9645494346,1656400
9775886091,1191200
9795566687,33800
9795609550,1203200
9795653260,1200300
9795675856,3348200
9795815284,1280100
9795928665,15900
9809406811,39600
9809961495,51600
9810269528,12900
9810289669,25800
9810298872,25800
9810354143,121300
9810366346,67600
9810376975,16900
9823936023,111300
9823967466,143100
9824365193,254400
9824381532,279300
9834372042,206700
9834411862,15900
9834417376,17900
9911357860,34800
