adgroup_id,campaign_type,avg_rank,n_days,sum_cost,sum_conv_amt,sum_ad_profit,profit_per_group_day,band,band3
grp-a001-01-000000061883898,WEB_SITE,3.3609,15,1168,0,-1168.0,-77.87,band3,"[2.5,4)"
grp-a001-01-000000061883899,WEB_SITE,3.5211,18,3690,0,-3690.0,-205.0,band3,"[2.5,4)"
grp-a001-01-000000061883900,WEB_SITE,4.2878,14,2810,0,-2810.0,-200.71,band3,≥4
grp-a001-01-000000061883901,WEB_SITE,3.3383,19,6190,33800,13564.53,713.92,band1,"[2.5,4)"
grp-a001-01-000000061883902,WEB_SITE,3.9806,19,1860,0,-1860.0,-97.89,band3,"[2.5,4)"
grp-a001-01-000000061883903,WEB_SITE,2.731,9,840,0,-840.0,-93.33,band3,"[2.5,4)"
grp-a001-01-000000061883904,WEB_SITE,3.4079,13,3330,0,-3330.0,-256.15,band3,"[2.5,4)"
grp-a001-01-000000061924085,WEB_SITE,5.6243,13,860,0,-860.0,-66.15,band3,≥4
grp-a001-01-000000061924086,WEB_SITE,4.2366,7,3780,0,-3780.0,-540.0,band3,≥4
grp-a001-01-000000061924087,WEB_SITE,5.0517,7,815,0,-815.0,-116.43,band3,≥4
grp-a001-01-000000061924088,WEB_SITE,4.9667,10,490,0,-490.0,-49.0,band3,≥4
grp-a001-01-000000061924089,WEB_SITE,5.9412,11,470,0,-470.0,-42.73,band3,≥4
grp-a001-01-000000061924090,WEB_SITE,6.1248,14,2800,0,-2800.0,-200.0,band3,≥4
grp-a001-01-000000061924091,WEB_SITE,4.9614,13,0,0,0.0,0.0,cost0_excluded,≥4
grp-a001-01-000000061924092,WEB_SITE,2.8333,12,500,0,-500.0,-41.67,band3,"[2.5,4)"
grp-a001-01-000000061924093,WEB_SITE,7.0909,13,500,0,-500.0,-38.46,band3,≥4
grp-a001-01-000000061924094,WEB_SITE,7.8217,3,0,0,0.0,0.0,cost0_excluded,≥4
grp-a001-01-000000061924107,WEB_SITE,3.9036,14,3250,0,-3250.0,-232.14,band3,"[2.5,4)"
grp-a001-01-000000061924108,WEB_SITE,4.9746,8,5960,0,-5960.0,-745.0,band3,≥4
grp-a001-01-000000061924109,WEB_SITE,8.5334,13,920,0,-920.0,-70.77,band3,≥4
